All_Cores, Core 0, Core 1, Core 2, Core 3
19.0, 8, 16, 26, 26
19.0, 8, 16, 26, 26
11.5, 9, 7, 15, 15
8.25, 12, 0, 14, 7
7.5, 6, 6, 0, 18
6.75, 6, 14, 0, 7
6.75, 0, 0, 13, 14
9.75, 13, 6, 0, 20
8.25, 0, 20, 7, 6
7.0, 7, 7, 0, 14
8.5, 13, 14, 7, 0
11.5, 20, 20, 0, 6
4.75, 6, 6, 7, 0
22.75, 7, 37, 26, 21
34.25, 38, 50, 28, 21
8.0, 20, 6, 6, 0
8.25, 13, 7, 7, 6
10.0, 0, 20, 20, 0
8.5, 0, 20, 0, 14
7.25, 7, 8, 7, 7
5.25, 0, 0, 7, 14
8.25, 0, 13, 13, 7
8.0, 6, 8, 6, 12
9.25, 0, 18, 13, 6
8.25, 13, 0, 6, 14
8.5, 7, 7, 13, 7
32.25, 40, 28, 33, 28
6.5, 13, 0, 0, 13
3.5, 7, 0, 0, 7
6.5, 13, 7, 0, 6
6.75, 0, 0, 20, 7
8.5, 6, 0, 21, 7
12.5, 23, 7, 0, 20
8.25, 0, 13, 7, 13
9.5, 6, 12, 7, 13
10.0, 7, 7, 13, 13
10.0, 0, 20, 13, 7
13.0, 25, 6, 6, 15
14.75, 23, 8, 21, 7
8.0, 6, 6, 13, 7
8.5, 14, 0, 6, 14
5.25, 0, 7, 7, 7
13.0, 14, 13, 17, 8
11.5, 7, 6, 20, 13
11.5, 13, 13, 0, 20
9.75, 6, 7, 13, 13
14.75, 6, 20, 20, 13
6.75, 0, 13, 7, 7
8.0, 13, 6, 0, 13
7.75, 8, 15, 0, 8
15.0, 16, 0, 16, 28
10.0, 7, 14, 12, 7
9.75, 20, 0, 13, 6
10.0, 13, 0, 20, 7
6.5, 13, 7, 6, 0
6.25, 7, 6, 0, 12
10.0, 0, 15, 12, 13
11.0, 20, 0, 6, 18
8.0, 0, 13, 6, 13
11.25, 6, 18, 7, 14
8.25, 20, 0, 0, 13
23.75, 33, 20, 7, 35
26.75, 33, 29, 20, 25
6.5, 0, 6, 20, 0
8.25, 20, 0, 6, 7
4.75, 0, 12, 0, 7
10.0, 7, 20, 13, 0
10.0, 13, 0, 14, 13
9.25, 6, 12, 13, 6
9.75, 13, 7, 13, 6
8.0, 13, 6, 13, 0
8.5, 0, 7, 14, 13
11.0, 13, 18, 13, 0
19.25, 30, 16, 0, 31
19.75, 9, 35, 9, 26
8.25, 7, 0, 6, 20
7.5, 6, 17, 7, 0
