Accelerometer_x_axis, Accelerometer_y_axis, Accelerometer_z_axis
0.2745862, -1.9221034, 9.0613446
0.196133, -1.96133, 9.0613446
0.2353596, -1.9221034, 8.9828914
0.2353596, -1.96133, 9.0613446
0.2353596, -1.9221034, 9.022118
0.196133, -1.9221034, 9.1005712
0.196133, -1.96133, 9.022118
0.2353596, -1.96133, 9.0613446
0.2353596, -1.96133, 9.022118
0.196133, -1.8828768, 9.0613446
0.2353596, -1.96133, 9.0613446
0.2353596, -1.96133, 9.0613446
0.2353596, -1.9221034, 9.0613446
0.2353596, -1.9221034, 9.022118
0.196133, -1.9221034, 9.1005712
0.2353596, -1.8828768, 9.022118
0.2353596, -1.9221034, 9.022118
0.196133, -1.9221034, 9.0613446
0.2353596, -1.96133, 9.1005712
0.2353596, -1.9221034, 9.1005712
0.196133, -1.9221034, 9.022118
0.196133, -1.96133, 9.1005712
0.2353596, -1.8828768, 9.0613446
0.2353596, -2.0005566, 9.218251
0.2353596, -1.765197, 9.1005712
0.2353596, -1.8436502, 9.1005712
0.196133, -1.96133, 9.022118
0.1569064, -1.9221034, 9.022118
0.1569064, -1.9221034, 9.022118
0.5099458, -1.4121576, 8.8652116
0.2353596, -1.96133, 9.022118
0.0392266, -1.8828768, 9.3359308
0.196133, -2.0790097999999997, 9.0613446
0.8237586, -2.4712758, 8.433719
0.7453053999999999, -1.9221034, 8.9044382
0.0784532, -2.5105024, 8.629852
0.3530394, -1.96133, 9.0613446
0.2353596, -2.157463, 8.9436648
0.2745862, -2.1966896, 9.1005712
0.2353596, -2.1966896, 8.9436648
0.2353596, -2.2359162, 8.9044382
-0.196133, -1.6475172, 9.1790244
0.196133, -2.1966896, 9.022118
0.2353596, -2.157463, 8.9044382
0.2353596, -2.2359162, 8.9828914
0.196133, -2.1966896, 8.9828914
0.196133, -2.1182364, 8.8652116
0.1569064, -2.2359162, 9.022118
0.196133, -2.2359162, 9.022118
0.196133, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.022118
0.2745862, -2.157463, 9.022118
0.196133, -2.1966896, 8.9828914
0.2745862, -2.2359162, 8.9436648
0.196133, -2.1966896, 8.9828914
0.2353596, -2.2359162, 8.9436648
0.2353596, -2.1966896, 9.0613446
0.196133, -2.1966896, 8.9044382
0.196133, -2.1966896, 9.022118
0.2353596, -2.1966896, 8.9436648
0.196133, -2.1966896, 8.9828914
0.2745862, -2.2359162, 9.022118
0.2353596, -2.1966896, 8.9828914
0.2353596, -2.2359162, 9.022118
0.196133, -2.157463, 8.9828914
0.2353596, -2.1966896, 8.9436648
0.2353596, -2.1966896, 8.9828914
0.2745862, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9828914
0.2353596, -2.2359162, 9.022118
0.2353596, -2.1966896, 8.9436648
0.2353596, -2.1966896, 9.0613446
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9828914
0.196133, -2.157463, 8.9436648
0.196133, -2.1966896, 8.9828914
0.2353596, -2.2359162, 9.022118
0.196133, -2.157463, 8.9828914
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.022118
0.1569064, -2.157463, 8.9828914
0.196133, -2.1966896, 9.022118
0.196133, -2.157463, 8.9828914
0.2353596, -2.157463, 8.9436648
0.196133, -2.1966896, 9.022118
0.196133, -2.2359162, 9.022118
0.196133, -2.1966896, 8.9828914
0.196133, -2.157463, 9.022118
0.2353596, -2.157463, 8.9828914
0.2353596, -2.2359162, 8.9436648
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.0613446
0.196133, -2.157463, 9.0613446
0.196133, -2.1966896, 8.9436648
0.2353596, -2.1966896, 8.9436648
0.196133, -2.1966896, 8.9828914
0.2353596, -2.157463, 8.9828914
0.196133, -2.1966896, 9.0613446
0.196133, -2.2359162, 9.1005712
0.2353596, -2.1966896, 8.9828914
0.1569064, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.022118
0.2745862, -2.1966896, 9.022118
0.196133, -2.2359162, 9.022118
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 8.9828914
0.196133, -2.1182364, 8.9828914
0.2353596, -2.1966896, 9.022118
0.196133, -2.157463, 8.9828914
0.196133, -2.2359162, 9.0613446
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9828914
0.2353596, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9828914
0.196133, -2.157463, 8.9828914
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 8.9828914
0.2353596, -2.2359162, 9.0613446
0.196133, -2.1182364, 9.022118
0.196133, -2.2359162, 9.0613446
0.2353596, -2.2359162, 9.0613446
0.196133, -2.157463, 9.022118
0.196133, -2.2359162, 9.022118
0.2353596, -2.2359162, 9.022118
0.2353596, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9436648
0.2353596, -2.2359162, 9.0613446
0.196133, -2.157463, 9.0613446
0.2353596, -2.1966896, 9.022118
0.196133, -2.157463, 8.9828914
0.2353596, -2.1966896, 8.9828914
0.1569064, -2.157463, 8.9828914
0.2353596, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.022118
0.1569064, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.022118
0.196133, -2.2359162, 9.022118
0.1569064, -2.157463, 9.022118
0.2353596, -2.2359162, 9.022118
0.2353596, -2.2359162, 8.9436648
0.196133, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.022118
0.196133, -2.157463, 9.022118
0.196133, -2.1966896, 9.022118
0.196133, -2.157463, 8.9828914
0.2353596, -2.1966896, 9.022118
0.2353596, -2.1966896, 8.9828914
0.196133, -2.2359162, 9.022118
0.2353596, -2.1966896, 9.0613446
0.2353596, -2.1966896, 8.9828914
0.2353596, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.1005712
0.2353596, -2.1966896, 8.9828914
0.2353596, -2.2359162, 9.022118
0.196133, -2.2359162, 8.9828914
0.196133, -2.2359162, 9.022118
0.196133, -2.1966896, 9.022118
0.196133, -2.1966896, 8.9828914
0.2353596, -2.1966896, 8.9828914
0.2353596, -2.1966896, 8.9828914
0.2353596, -2.1966896, 9.022118
0.1569064, -2.157463, 9.022118
0.196133, -2.2359162, 8.9828914
0.2353596, -2.2359162, 9.022118
0.196133, -2.1966896, 8.9828914
0.2353596, -2.157463, 9.022118
0.2353596, -2.1966896, 9.0613446
0.196133, -2.2359162, 8.9828914
0.196133, -2.1966896, 8.9828914
0.196133, -2.157463, 9.022118
0.196133, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 8.9828914
0.1569064, -2.157463, 8.9436648
0.2353596, -2.2359162, 9.0613446
0.196133, -2.157463, 8.9828914
0.1569064, -2.1966896, 9.0613446
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.0613446
0.196133, -2.157463, 9.022118
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9436648
0.196133, -2.2359162, 9.022118
0.196133, -2.157463, 9.022118
0.196133, -2.1966896, 8.9828914
0.2353596, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 9.022118
0.1569064, -2.1966896, 8.9828914
0.196133, -2.157463, 8.9828914
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9436648
0.196133, -2.1966896, 8.9828914
0.196133, -2.157463, 8.9828914
0.2353596, -2.1966896, 9.1005712
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 8.9828914
0.196133, -2.2359162, 8.9828914
0.196133, -2.2359162, 8.9828914
0.196133, -2.1966896, 9.022118
0.196133, -2.1966896, 9.022118
0.196133, -2.2359162, 8.9828914
0.196133, -2.2359162, 9.022118
0.2353596, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.022118
0.2353596, -2.2359162, 9.022118
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 8.9828914
0.196133, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 8.9436648
0.196133, -2.1966896, 9.022118
0.2353596, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.0613446
0.196133, -2.1966896, 8.9828914
0.2353596, -2.157463, 9.0613446
0.1569064, -2.157463, 8.9828914
0.196133, -2.2359162, 8.9436648
0.196133, -2.1966896, 9.022118
0.1569064, -2.2359162, 9.022118
0.196133, -2.1966896, 9.022118
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 8.9828914
0.2353596, -2.157463, 9.022118
0.196133, -2.157463, 9.022118
0.1569064, -2.157463, 9.022118
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.0613446
0.2353596, -2.2359162, 8.9828914
0.2353596, -2.157463, 8.9828914
0.196133, -2.1966896, 8.9436648
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.022118
0.196133, -2.1966896, 9.1397978
0.196133, -2.1966896, 8.9436648
0.196133, -2.1966896, 9.022118
0.196133, -2.2359162, 8.9828914
0.196133, -2.1966896, 8.9436648
0.2353596, -2.1966896, 8.9436648
0.2353596, -2.157463, 9.0613446
0.2353596, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 9.022118
0.196133, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 9.022118
0.196133, -2.1966896, 8.9828914
0.196133, -2.157463, 9.022118
0.196133, -2.1966896, 9.022118
0.196133, -2.1966896, 9.0613446
0.2353596, -2.1966896, 8.9828914
0.196133, -2.157463, 8.9436648
0.196133, -2.1966896, 9.022118
0.2353596, -2.157463, 9.022118
0.196133, -2.157463, 8.9828914
0.196133, -2.1966896, 8.9828914
0.2353596, -2.2359162, 9.022118
0.1569064, -2.1966896, 9.022118
0.2353596, -2.2359162, 9.022118
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 8.9828914
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 9.022118
0.196133, -2.157463, 9.022118
0.196133, -2.2359162, 9.022118
0.196133, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 9.022118
0.2353596, -2.2359162, 9.022118
0.196133, -2.1966896, 8.9436648
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9436648
0.196133, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.0613446
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 8.9828914
0.1569064, -2.1182364, 8.9436648
0.196133, -2.1966896, 8.9828914
0.2353596, -2.1966896, 9.022118
0.2353596, -2.1966896, 8.9828914
0.196133, -2.157463, 8.9828914
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 9.1397978
0.2353596, -2.1966896, 9.0613446
0.2353596, -2.2359162, 9.0613446
0.2353596, -2.2359162, 9.022118
0.196133, -2.1966896, 9.022118
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.0613446
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 9.022118
0.196133, -2.1966896, 9.022118
0.1569064, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.022118
0.196133, -2.1966896, 9.022118
0.196133, -2.157463, 9.022118
0.2353596, -2.1966896, 8.9828914
0.2353596, -2.1966896, 8.9828914
0.1569064, -2.1182364, 9.022118
0.196133, -2.1966896, 9.022118
0.1569064, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 8.9828914
0.2353596, -2.2359162, 9.0613446
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 8.9828914
0.2353596, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.0613446
0.2353596, -2.2359162, 9.0613446
0.2353596, -2.1966896, 9.022118
0.2353596, -2.2359162, 8.9828914
0.196133, -2.2359162, 9.022118
0.2353596, -2.2359162, 9.022118
0.196133, -2.1966896, 9.0613446
0.196133, -2.157463, 9.0613446
0.196133, -2.2359162, 9.022118
0.2745862, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9828914
0.196133, -2.2359162, 9.022118
0.2353596, -2.1966896, 8.9828914
0.196133, -2.1182364, 9.0613446
0.196133, -2.157463, 9.0613446
0.196133, -2.2359162, 9.0613446
0.196133, -2.2359162, 9.0613446
0.196133, -2.157463, 9.022118
0.2353596, -2.2359162, 8.9828914
0.1569064, -2.2359162, 8.9828914
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 9.022118
0.196133, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.022118
0.196133, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.0613446
0.1569064, -2.157463, 9.022118
0.196133, -2.2359162, 8.9828914
0.2353596, -2.1966896, 9.022118
0.196133, -2.2359162, 8.9828914
0.1569064, -2.157463, 9.0613446
0.196133, -2.1966896, 9.0613446
0.2353596, -2.2359162, 9.1005712
0.196133, -2.2359162, 9.022118
0.2353596, -2.1966896, 9.022118
0.196133, -2.2359162, 9.0613446
0.2353596, -2.157463, 9.022118
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 9.1005712
0.2353596, -2.157463, 8.9828914
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 8.9828914
0.2353596, -2.1966896, 8.9828914
0.2353596, -2.1966896, 9.022118
0.196133, -2.2359162, 9.022118
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 9.022118
0.196133, -2.157463, 9.022118
0.196133, -2.1966896, 8.9828914
0.1569064, -2.1966896, 8.9828914
0.2353596, -2.1966896, 8.9828914
0.1569064, -2.1966896, 9.022118
0.196133, -2.2359162, 8.9828914
0.2353596, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.022118
0.2353596, -2.1182364, 9.022118
0.196133, -2.1966896, 9.022118
0.1569064, -2.1966896, 9.022118
0.196133, -2.1966896, 9.0613446
0.2353596, -2.1966896, 9.0613446
0.196133, -2.2359162, 9.022118
0.1569064, -2.1966896, 9.0613446
0.196133, -2.2359162, 9.1005712
0.2353596, -2.2359162, 9.1005712
0.2353596, -2.2359162, 9.0613446
0.2353596, -2.1966896, 9.1005712
0.196133, -2.1966896, 9.022118
0.2353596, -2.157463, 9.022118
0.2353596, -2.157463, 9.1005712
0.2353596, -2.2751428, 9.0613446
0.2353596, -2.2359162, 9.0613446
0.196133, -2.1966896, 9.0613446
0.2353596, -2.2359162, 9.0613446
0.196133, -2.1966896, 9.022118
0.2353596, -2.2359162, 9.022118
0.2353596, -2.2359162, 8.9828914
0.2353596, -2.2359162, 9.0613446
0.196133, -2.157463, 9.0613446
0.2353596, -2.2359162, 9.1005712
0.2353596, -2.1966896, 8.9828914
0.1569064, -2.157463, 9.0613446
0.2353596, -2.2359162, 9.022118
0.2353596, -2.1966896, 9.0613446
0.196133, -2.2359162, 9.022118
0.2353596, -2.157463, 8.9828914
0.2353596, -2.1966896, 8.9436648
0.196133, -2.157463, 9.022118
0.2353596, -2.2359162, 9.022118
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9828914
0.2353596, -2.1966896, 9.0613446
0.196133, -2.157463, 9.022118
0.196133, -2.157463, 9.022118
0.196133, -2.1966896, 8.9436648
0.2353596, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.022118
0.196133, -2.1966896, 9.022118
0.196133, -2.2359162, 9.0613446
0.2353596, -2.2359162, 8.9828914
0.2353596, -2.157463, 9.022118
0.2353596, -2.2359162, 8.9828914
0.2353596, -2.1966896, 9.022118
0.2353596, -2.2359162, 9.022118
0.196133, -2.1966896, 9.0613446
0.1569064, -2.1966896, 8.9828914
0.196133, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.022118
0.2353596, -2.1966896, 9.0613446
0.196133, -2.1966896, 8.9828914
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 9.0613446
0.2353596, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.022118
0.2353596, -2.1966896, 8.9828914
0.2353596, -2.1966896, 9.0613446
0.2353596, -2.2359162, 8.9828914
0.196133, -2.1966896, 8.9828914
0.2353596, -2.157463, 8.9828914
0.196133, -2.1966896, 8.9828914
0.196133, -2.1966896, 8.9828914
0.2353596, -2.2359162, 8.9436648
0.2353596, -2.1966896, 9.022118
0.196133, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.0613446
0.196133, -2.1966896, 9.0613446
0.2353596, -2.1966896, 9.0613446
