All_Cores, Core 0, Core 1, Core 2, Core 3
6.0, 6, 0, 12, 6
6.0, 6, 0, 12, 6
7.75, 0, 18, 6, 7
8.5, 21, 0, 13, 0
6.5, 13, 0, 13, 0
8.5, 13, 14, 7, 0
6.75, 13, 0, 14, 0
10.75, 7, 13, 12, 11
5.0, 0, 7, 0, 13
6.75, 7, 0, 20, 0
9.75, 20, 6, 13, 0
18.0, 18, 15, 13, 26
22.5, 8, 23, 21, 38
6.75, 7, 6, 0, 14
10.0, 0, 17, 17, 6
9.5, 20, 0, 18, 0
5.0, 13, 0, 0, 7
10.25, 13, 0, 14, 14
8.5, 6, 14, 7, 7
12.75, 0, 6, 25, 20
6.75, 0, 0, 14, 13
5.25, 0, 14, 0, 7
6.5, 13, 7, 6, 0
12.75, 7, 13, 25, 6
27.0, 40, 16, 26, 26
6.5, 7, 12, 7, 0
9.5, 25, 6, 7, 0
10.25, 13, 14, 7, 7
6.5, 7, 13, 0, 6
13.25, 14, 12, 20, 7
8.0, 12, 13, 7, 0
8.5, 14, 7, 7, 6
5.5, 0, 15, 7, 0
8.0, 13, 0, 13, 6
12.25, 23, 13, 13, 0
6.5, 6, 7, 6, 7
21.0, 7, 21, 21, 35
18.25, 26, 21, 0, 26
8.25, 0, 13, 13, 7
6.75, 6, 7, 8, 6
8.25, 13, 13, 7, 0
6.25, 13, 0, 0, 12
6.5, 7, 6, 13, 0
8.25, 20, 0, 7, 6
10.75, 6, 13, 18, 6
8.0, 7, 13, 6, 6
8.25, 20, 6, 7, 0
9.5, 7, 18, 13, 0
26.25, 23, 25, 31, 26
29.25, 37, 23, 28, 29
8.0, 6, 20, 6, 0
7.75, 0, 17, 7, 7
9.75, 7, 6, 6, 20
6.75, 20, 0, 7, 0
10.25, 14, 14, 13, 0
8.25, 7, 13, 13, 0
5.0, 0, 7, 6, 7
8.0, 0, 6, 13, 13
10.75, 0, 12, 13, 18
6.5, 13, 0, 7, 6
27.5, 7, 40, 35, 28
14.25, 15, 21, 14, 7
9.5, 0, 13, 12, 13
8.0, 6, 12, 0, 14
10.0, 13, 7, 7, 13
8.75, 0, 7, 14, 14
8.25, 20, 6, 7, 0
5.0, 0, 7, 13, 0
7.75, 0, 6, 13, 12
8.5, 14, 14, 0, 6
6.75, 7, 0, 13, 7
8.0, 6, 6, 13, 7
18.5, 21, 23, 7, 23
18.25, 25, 33, 8, 7
6.5, 7, 0, 7, 12
10.5, 14, 14, 7, 7
8.5, 6, 14, 7, 7
6.75, 14, 0, 0, 13
6.75, 7, 6, 7, 7
6.5, 0, 6, 7, 13
10.0, 13, 7, 14, 6
8.0, 0, 13, 12, 7
6.5, 0, 13, 7, 6
5.0, 0, 14, 6, 0
19.75, 8, 26, 20, 25
22.25, 16, 37, 20, 16
7.0, 14, 7, 7, 0
9.5, 0, 20, 18, 0
8.5, 7, 14, 13, 0
8.5, 13, 0, 14, 7
8.25, 13, 0, 20, 0
9.75, 7, 14, 12, 6
8.5, 7, 7, 6, 14
6.75, 7, 13, 0, 7
9.75, 13, 7, 7, 12
6.75, 21, 0, 6, 0
8.5, 7, 14, 0, 13
20.75, 35, 15, 15, 18
7.0, 0, 0, 14, 14
8.25, 20, 6, 7, 0
9.5, 7, 0, 25, 6
8.0, 6, 0, 13, 13
3.75, 0, 0, 7, 8
11.0, 17, 7, 20, 0
10.0, 7, 20, 7, 6
10.0, 7, 13, 0, 20
11.5, 21, 6, 6, 13
5.0, 7, 0, 0, 13
10.75, 7, 7, 13, 16
23.0, 31, 38, 0, 23
10.25, 7, 14, 13, 7
9.5, 7, 6, 7, 18
9.5, 6, 20, 12, 0
10.0, 15, 13, 12, 0
5.0, 13, 0, 0, 7
8.0, 13, 6, 13, 0
8.25, 20, 6, 7, 0
14.5, 14, 18, 6, 20
13.0, 18, 6, 14, 14
8.5, 6, 0, 14, 14
16.5, 14, 20, 18, 14
20.75, 18, 37, 21, 7
10.0, 7, 13, 6, 14
6.75, 0, 6, 7, 14
10.5, 0, 18, 6, 18
8.25, 20, 0, 7, 6
11.25, 25, 6, 0, 14
11.5, 13, 13, 0, 20
8.5, 6, 14, 0, 14
6.25, 18, 0, 0, 7
11.5, 14, 6, 12, 14
5.5, 7, 0, 0, 15
13.75, 7, 7, 29, 12
23.75, 8, 26, 35, 26
11.5, 14, 6, 13, 13
11.0, 7, 18, 6, 13
8.5, 14, 6, 0, 14
9.75, 7, 12, 7, 13
9.0, 15, 6, 7, 8
13.75, 18, 12, 8, 17
6.75, 14, 0, 6, 7
14.0, 13, 12, 18, 13
9.25, 6, 18, 0, 13
8.25, 0, 0, 20, 13
11.5, 7, 21, 0, 18
29.0, 23, 33, 23, 37
10.25, 14, 13, 14, 0
8.25, 13, 0, 14, 6
7.75, 6, 6, 7, 12
9.5, 13, 13, 6, 6
3.5, 0, 7, 7, 0
9.75, 13, 13, 0, 13
10.0, 13, 14, 0, 13
9.25, 0, 18, 6, 13
12.25, 18, 18, 0, 13
11.75, 7, 20, 6, 14
8.5, 14, 6, 0, 14
29.25, 38, 8, 43, 28
3.5, 0, 7, 7, 0
10.0, 6, 14, 7, 13
8.25, 7, 13, 13, 0
10.0, 20, 7, 7, 6
11.25, 7, 7, 25, 6
7.75, 0, 13, 6, 12
6.75, 13, 0, 7, 7
6.75, 6, 14, 0, 7
8.75, 14, 0, 7, 14
8.0, 13, 6, 0, 13
8.75, 7, 14, 7, 7
22.75, 30, 30, 16, 15
10.25, 14, 0, 20, 7
10.0, 14, 0, 13, 13
6.75, 13, 0, 7, 7
8.5, 20, 14, 0, 0
9.5, 18, 0, 6, 14
10.25, 13, 0, 14, 14
4.75, 13, 6, 0, 0
9.5, 13, 18, 0, 7
9.0, 12, 6, 6, 12
9.75, 6, 13, 13, 7
8.25, 13, 6, 7, 7
22.5, 21, 26, 37, 6
18.0, 0, 26, 33, 13
8.75, 7, 14, 0, 14
8.5, 0, 14, 0, 20
6.5, 6, 13, 0, 7
7.0, 7, 14, 7, 0
6.5, 6, 14, 6, 0
6.25, 6, 13, 0, 6
6.75, 7, 13, 0, 7
11.75, 21, 6, 6, 14
6.5, 13, 6, 0, 7
10.75, 13, 18, 0, 12
18.75, 21, 0, 40, 14
11.25, 8, 20, 8, 9
8.25, 20, 13, 0, 0
8.25, 13, 0, 13, 7
6.75, 14, 6, 7, 0
10.0, 0, 14, 6, 20
11.25, 23, 8, 7, 7
8.5, 13, 0, 21, 0
8.75, 12, 0, 6, 17
9.75, 13, 20, 0, 6
8.25, 0, 13, 20, 0
9.25, 20, 0, 11, 6
12.0, 0, 33, 7, 8
20.75, 8, 28, 31, 16
10.0, 14, 13, 0, 13
8.25, 6, 13, 14, 0
13.0, 20, 18, 7, 7
6.5, 20, 0, 0, 6
5.25, 0, 14, 0, 7
3.5, 0, 7, 0, 7
8.25, 20, 0, 0, 13
10.0, 20, 6, 7, 7
8.5, 0, 0, 14, 20
11.25, 20, 6, 13, 6
10.25, 7, 7, 13, 14
18.25, 21, 21, 16, 15
9.75, 7, 0, 20, 12
6.5, 0, 12, 0, 14
9.75, 7, 13, 6, 13
6.75, 7, 7, 7, 6
6.75, 14, 0, 13, 0
8.25, 13, 7, 6, 7
10.25, 14, 20, 7, 0
6.75, 14, 0, 0, 13
8.75, 0, 6, 12, 17
8.5, 7, 6, 7, 14
13.75, 14, 14, 13, 14
22.5, 23, 14, 30, 23
15.5, 17, 13, 18, 14
8.5, 0, 20, 14, 0
10.0, 0, 0, 20, 20
9.75, 13, 6, 13, 7
9.5, 13, 18, 0, 7
7.0, 14, 0, 0, 14
10.0, 12, 14, 7, 7
11.5, 14, 12, 7, 13
7.75, 7, 6, 0, 18
5.25, 0, 0, 14, 7
5.5, 0, 15, 0, 7
18.25, 8, 25, 25, 15
6.25, 13, 12, 0, 0
