All_Cores, Core0, Core1, Core2, Core3
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
100, 100, 100, 100, 100
3.5, 0, 0, 14, 0
12.5, 6, 6, 20, 18
8.0, 13, 13, 6, 0
7.75, 0, 17, 7, 7
6.75, 13, 0, 14, 0
6.5, 0, 14, 6, 6
8.5, 0, 14, 13, 7
3.5, 0, 0, 7, 7
8.0, 13, 7, 12, 0
15.75, 23, 26, 7, 7
9.75, 18, 0, 7, 14
6.75, 0, 7, 13, 7
9.25, 22, 7, 8, 0
8.5, 0, 7, 7, 20
5.0, 0, 0, 7, 13
9.75, 6, 20, 7, 6
6.75, 13, 7, 7, 0
10.0, 14, 20, 6, 0
8.25, 21, 0, 6, 6
8.5, 7, 0, 13, 14
8.5, 14, 0, 14, 6
17.0, 23, 0, 31, 14
17.25, 25, 14, 15, 15
8.0, 7, 6, 6, 13
8.75, 7, 0, 14, 14
8.5, 14, 7, 13, 0
11.25, 13, 13, 6, 13
6.5, 6, 0, 13, 7
5.25, 0, 14, 0, 7
10.0, 13, 6, 14, 7
10.25, 21, 0, 13, 7
3.25, 0, 6, 7, 0
6.75, 0, 6, 8, 13
11.25, 7, 12, 20, 6
13.5, 9, 23, 15, 7
6.25, 6, 0, 13, 6
8.25, 7, 7, 12, 7
9.75, 18, 7, 0, 14
10.0, 14, 7, 7, 12
11.75, 7, 6, 14, 20
9.0, 6, 12, 18, 0
6.75, 0, 13, 0, 14
11.25, 25, 7, 0, 13
9.5, 14, 6, 6, 12
9.25, 7, 12, 0, 18
11.25, 25, 14, 6, 0
26.0, 16, 23, 37, 28
9.75, 7, 18, 7, 7
8.5, 20, 0, 7, 7
12.0, 7, 6, 21, 14
10.0, 14, 14, 0, 12
9.75, 0, 20, 6, 13
6.25, 12, 7, 6, 0
7.0, 7, 0, 14, 7
10.5, 22, 7, 0, 13
6.5, 0, 13, 0, 13
9.25, 12, 7, 6, 12
9.5, 13, 6, 12, 7
19.0, 33, 28, 0, 15
10.0, 20, 13, 7, 0
11.0, 18, 12, 14, 0
7.5, 0, 8, 8, 14
10.0, 13, 12, 15, 0
9.75, 13, 6, 0, 20
9.75, 13, 20, 6, 0
7.75, 18, 6, 7, 0
6.75, 7, 7, 6, 7
8.25, 6, 7, 13, 7
8.75, 0, 14, 21, 0
7.75, 0, 7, 12, 12
13.25, 7, 13, 13, 20
15.5, 40, 7, 15, 0
8.25, 13, 13, 0, 7
8.25, 13, 7, 7, 6
9.75, 20, 7, 12, 0
10.25, 20, 14, 7, 0
9.5, 14, 6, 12, 6
9.75, 13, 6, 14, 6
7.0, 14, 7, 0, 7
5.0, 14, 0, 0, 6
6.5, 13, 7, 0, 6
10.0, 20, 13, 0, 7
26.5, 33, 14, 33, 26
16.0, 26, 15, 23, 0
6.75, 0, 7, 20, 0
11.0, 7, 6, 25, 6
5.0, 0, 6, 14, 0
7.75, 0, 6, 18, 7
8.25, 13, 0, 20, 0
5.0, 0, 7, 7, 6
7.5, 0, 15, 8, 7
3.5, 0, 7, 7, 0
8.75, 0, 14, 14, 7
9.25, 13, 18, 6, 0
10.0, 0, 13, 20, 7
16.25, 16, 0, 16, 33
10.0, 14, 13, 0, 13
6.5, 0, 6, 13, 7
8.5, 20, 14, 0, 0
9.75, 13, 0, 20, 6
9.25, 18, 6, 13, 0
8.5, 0, 14, 20, 0
5.5, 7, 8, 7, 0
8.5, 7, 7, 7, 13
3.25, 0, 0, 13, 0
11.0, 13, 13, 0, 18
10.25, 7, 7, 6, 21
15.25, 16, 30, 7, 8
8.25, 13, 0, 20, 0
6.25, 0, 6, 7, 12
9.75, 6, 7, 20, 6
9.75, 13, 6, 14, 6
11.25, 14, 17, 8, 6
8.0, 6, 6, 13, 7
8.0, 0, 7, 12, 13
8.5, 21, 0, 13, 0
9.5, 7, 13, 6, 12
8.25, 6, 7, 20, 0
10.25, 14, 13, 7, 7
40.5, 33, 38, 41, 50
11.25, 16, 7, 15, 7
7.0, 0, 14, 7, 7
11.25, 7, 12, 13, 13
9.75, 7, 6, 13, 13
9.75, 13, 6, 6, 14
8.25, 13, 6, 7, 7
7.75, 13, 0, 0, 18
8.0, 13, 7, 6, 6
8.25, 14, 6, 13, 0
12.5, 13, 25, 6, 6
9.5, 13, 18, 0, 7
19.0, 28, 7, 15, 26
14.5, 13, 14, 18, 13
8.25, 7, 6, 7, 13
5.0, 0, 0, 13, 7
9.75, 14, 12, 0, 13
10.75, 13, 13, 0, 17
8.0, 13, 6, 7, 6
9.5, 17, 14, 0, 7
9.5, 0, 14, 6, 18
7.5, 12, 0, 12, 6
8.25, 13, 13, 0, 7
8.25, 14, 12, 0, 7
15.0, 23, 13, 8, 16
23.0, 20, 26, 25, 21
3.75, 8, 0, 7, 0
10.25, 14, 14, 0, 13
11.5, 13, 20, 0, 13
6.5, 7, 6, 0, 13
4.75, 0, 7, 12, 0
8.5, 13, 0, 14, 7
8.5, 13, 7, 7, 7
5.0, 0, 6, 7, 7
6.75, 6, 7, 14, 0
6.75, 13, 0, 7, 7
22.0, 25, 28, 21, 14
9.25, 15, 9, 0, 13
10.25, 6, 23, 12, 0
6.75, 14, 0, 0, 13
7.75, 0, 18, 0, 13
5.0, 6, 0, 7, 7
6.5, 13, 0, 13, 0
8.25, 7, 6, 0, 20
7.0, 7, 7, 0, 14
11.25, 13, 7, 12, 13
8.5, 0, 13, 21, 0
5.0, 13, 0, 7, 0
8.75, 0, 14, 0, 21
26.25, 28, 28, 23, 26
8.0, 13, 0, 12, 7
8.5, 7, 13, 7, 7
8.25, 13, 7, 13, 0
11.5, 13, 13, 13, 7
7.0, 14, 7, 7, 0
3.5, 7, 0, 0, 7
5.25, 0, 7, 7, 7
5.0, 0, 7, 7, 6
10.75, 7, 18, 6, 12
8.25, 14, 6, 13, 0
8.75, 15, 13, 0, 7
25.0, 40, 31, 15, 14
8.5, 0, 13, 7, 14
8.5, 14, 13, 0, 7
6.25, 0, 6, 13, 6
8.25, 13, 7, 6, 7
8.0, 0, 13, 12, 7
6.5, 14, 6, 6, 0
9.75, 13, 6, 20, 0
9.5, 20, 18, 0, 0
8.75, 14, 7, 14, 0
6.75, 13, 7, 0, 7
12.0, 14, 14, 7, 13
18.0, 30, 21, 0, 21
8.25, 7, 6, 13, 7
8.25, 13, 0, 7, 13
6.75, 20, 0, 7, 0
9.5, 13, 0, 7, 18
9.75, 13, 0, 20, 6
9.0, 0, 8, 6, 22
12.25, 12, 6, 18, 13
6.5, 6, 7, 13, 0
11.5, 0, 20, 20, 6
8.5, 20, 14, 0, 0
12.75, 20, 13, 0, 18
18.0, 16, 33, 15, 8
8.5, 0, 13, 15, 6
8.25, 13, 0, 7, 13
6.5, 0, 13, 6, 7
5.0, 0, 13, 7, 0
8.5, 14, 7, 13, 0
8.5, 7, 7, 13, 7
8.5, 20, 0, 7, 7
9.75, 14, 6, 7, 12
6.0, 0, 12, 6, 6
9.75, 6, 6, 21, 6
6.75, 6, 14, 0, 7
16.0, 15, 33, 7, 9
7.0, 7, 14, 7, 0
8.0, 13, 0, 12, 7
9.75, 6, 20, 13, 0
9.75, 13, 0, 20, 6
11.0, 23, 8, 13, 0
11.5, 20, 13, 6, 7
7.0, 7, 14, 0, 7
10.0, 13, 0, 14, 13
9.75, 14, 12, 13, 0
9.5, 7, 18, 6, 7
13.25, 13, 20, 6, 14
27.25, 30, 25, 33, 21
22.5, 20, 38, 16, 16
7.5, 6, 18, 0, 6
8.0, 7, 17, 8, 0
10.25, 20, 14, 0, 7
6.5, 0, 0, 13, 13
8.5, 13, 0, 14, 7
6.75, 20, 0, 7, 0
6.75, 0, 13, 0, 14
7.75, 0, 7, 6, 18
8.25, 13, 14, 6, 0
9.5, 13, 13, 12, 0
20.25, 28, 15, 38, 0
18.75, 31, 13, 18, 13
10.0, 6, 14, 20, 0
4.75, 13, 0, 6, 0
6.25, 0, 6, 6, 13
6.5, 0, 7, 12, 7
8.25, 14, 6, 0, 13
11.0, 12, 13, 6, 13
8.0, 0, 6, 6, 20
8.5, 0, 7, 13, 14
3.5, 7, 7, 0, 0
10.25, 20, 14, 0, 7
17.5, 14, 33, 0, 23
19.25, 16, 46, 15, 0
10.0, 13, 7, 20, 0
10.0, 0, 18, 15, 7
6.75, 14, 6, 0, 7
6.25, 13, 6, 0, 6
6.75, 0, 14, 0, 13
8.25, 13, 6, 14, 0
7.0, 14, 0, 7, 7
13.25, 26, 20, 0, 7
7.0, 0, 14, 7, 7
8.0, 6, 6, 7, 13
6.75, 7, 6, 7, 7
27.0, 28, 25, 18, 37
12.5, 13, 18, 6, 13
6.75, 7, 7, 7, 6
4.75, 0, 6, 13, 0
5.25, 14, 0, 7, 0
6.75, 7, 14, 6, 0
5.0, 0, 7, 7, 6
6.75, 7, 0, 13, 7
11.75, 20, 0, 20, 7
9.25, 18, 0, 6, 13
10.25, 21, 6, 0, 14
13.75, 15, 14, 13, 13
20.0, 23, 20, 21, 16
6.75, 0, 13, 14, 0
14.75, 18, 12, 12, 17
8.0, 7, 13, 6, 6
8.5, 0, 14, 7, 13
3.5, 7, 0, 0, 7
10.0, 0, 13, 20, 7
9.75, 13, 20, 0, 6
6.75, 7, 7, 0, 13
10.0, 7, 6, 20, 7
8.5, 20, 0, 14, 0
8.25, 0, 13, 7, 13
11.75, 21, 9, 8, 9
8.5, 7, 0, 14, 13
11.75, 20, 6, 14, 7
8.5, 6, 0, 15, 13
10.0, 0, 13, 14, 13
11.5, 20, 0, 13, 13
9.5, 20, 6, 6, 6
5.25, 7, 7, 0, 7
8.25, 6, 0, 20, 7
4.75, 0, 0, 13, 6
8.25, 7, 14, 6, 6
11.5, 7, 25, 0, 14
28.5, 30, 40, 23, 21
6.5, 14, 6, 0, 6
6.75, 6, 7, 7, 7
10.0, 0, 20, 7, 13
6.75, 0, 0, 20, 7
10.25, 0, 14, 14, 13
10.25, 0, 7, 21, 13
6.75, 0, 20, 7, 0
8.75, 13, 0, 15, 7
8.0, 20, 0, 6, 6
5.0, 0, 0, 7, 13
8.5, 21, 0, 0, 13
18.25, 14, 31, 7, 21
19.5, 21, 25, 23, 9
11.5, 20, 13, 0, 13
8.25, 7, 6, 7, 13
11.0, 18, 0, 6, 20
8.0, 8, 6, 6, 12
6.75, 14, 6, 7, 0
5.0, 7, 7, 0, 6
8.25, 13, 7, 7, 6
12.25, 18, 18, 0, 13
8.5, 14, 7, 13, 0
10.25, 13, 7, 14, 7
27.25, 15, 40, 29, 25
24.75, 28, 9, 15, 47
5.0, 6, 0, 7, 7
6.75, 13, 0, 0, 14
6.75, 0, 6, 14, 7
10.25, 20, 0, 7, 14
8.5, 0, 14, 13, 7
10.25, 6, 14, 14, 7
6.5, 13, 0, 6, 7
7.0, 14, 0, 0, 14
7.75, 0, 13, 0, 18
11.25, 18, 7, 7, 13
11.75, 20, 6, 14, 7
18.5, 8, 15, 28, 23
10.0, 7, 13, 7, 13
8.25, 0, 20, 13, 0
3.75, 0, 15, 0, 0
8.25, 20, 0, 13, 0
8.0, 7, 6, 13, 6
4.75, 7, 6, 6, 0
8.5, 14, 7, 13, 0
10.25, 14, 14, 13, 0
12.0, 14, 13, 14, 7
6.5, 0, 6, 7, 13
12.75, 13, 0, 13, 25
23.0, 42, 26, 9, 15
11.75, 13, 13, 8, 13
9.5, 6, 0, 25, 7
8.25, 7, 0, 13, 13
8.25, 6, 14, 0, 13
10.0, 13, 6, 7, 14
11.25, 20, 7, 18, 0
6.75, 7, 7, 7, 6
8.25, 13, 0, 20, 0
11.0, 12, 6, 13, 13
7.75, 0, 18, 6, 7
8.25, 6, 14, 7, 6
23.75, 26, 8, 33, 28
9.75, 13, 13, 6, 7
8.5, 13, 14, 0, 7
9.0, 22, 7, 0, 7
8.75, 14, 0, 7, 14
11.75, 26, 7, 0, 14
7.0, 0, 14, 7, 7
9.75, 6, 7, 13, 13
3.75, 0, 7, 8, 0
8.0, 18, 7, 0, 7
6.5, 0, 13, 7, 6
13.0, 20, 7, 0, 25
15.25, 21, 7, 25, 8
8.0, 20, 6, 0, 6
7.75, 13, 11, 0, 7
6.75, 13, 0, 14, 0
8.25, 14, 13, 0, 6
4.5, 6, 6, 6, 0
6.75, 7, 0, 20, 0
12.0, 22, 12, 14, 0
8.5, 0, 13, 14, 7
8.0, 13, 7, 6, 6
11.75, 0, 7, 20, 20
11.75, 7, 6, 20, 14
25.5, 28, 15, 26, 33
8.5, 7, 14, 6, 7
9.25, 13, 7, 0, 17
8.0, 7, 13, 12, 0
5.0, 0, 13, 0, 7
8.5, 13, 14, 0, 7
7.75, 0, 18, 13, 0
6.25, 6, 13, 0, 6
9.25, 6, 13, 18, 0
9.25, 13, 17, 7, 0
8.0, 13, 6, 6, 7
6.0, 0, 0, 12, 12
28.75, 33, 14, 35, 33
3.5, 0, 0, 14, 0
11.75, 6, 14, 13, 14
10.5, 22, 6, 7, 7
6.75, 14, 0, 0, 13
11.25, 14, 0, 18, 13
9.5, 13, 13, 0, 12
10.0, 20, 20, 0, 0
8.25, 7, 6, 20, 0
8.0, 13, 7, 12, 0
10.0, 20, 13, 0, 7
9.75, 14, 6, 6, 13
12.25, 26, 0, 0, 23
21.5, 25, 15, 23, 23
6.5, 13, 0, 13, 0
5.0, 7, 0, 7, 6
8.0, 6, 0, 13, 13
8.5, 20, 0, 0, 14
9.75, 0, 20, 13, 6
6.75, 14, 0, 13, 0
8.5, 13, 0, 7, 14
6.5, 7, 6, 13, 0
8.25, 7, 13, 6, 7
8.5, 7, 20, 0, 7
14.0, 28, 0, 7, 21
17.25, 26, 7, 21, 15
5.25, 0, 14, 7, 0
8.5, 6, 21, 0, 7
8.25, 13, 7, 0, 13
6.75, 7, 0, 7, 13
8.75, 0, 0, 21, 14
11.25, 18, 20, 0, 7
10.25, 13, 14, 7, 7
6.75, 13, 0, 7, 7
8.5, 20, 14, 0, 0
9.75, 7, 12, 13, 7
12.0, 13, 15, 7, 13
17.0, 8, 23, 28, 9
6.5, 0, 13, 0, 13
11.75, 13, 20, 14, 0
7.75, 18, 6, 0, 7
9.5, 13, 12, 13, 0
8.25, 0, 20, 0, 13
10.75, 13, 23, 7, 0
5.0, 0, 0, 13, 7
9.75, 6, 14, 7, 12
9.5, 0, 20, 0, 18
8.5, 20, 14, 0, 0
10.75, 7, 7, 15, 14
26.25, 15, 31, 31, 28
8.0, 25, 0, 7, 0
6.5, 6, 0, 7, 13
3.5, 7, 7, 0, 0
11.0, 20, 18, 6, 0
8.25, 20, 0, 7, 6
17.25, 20, 18, 6, 25
7.5, 8, 7, 7, 8
6.25, 0, 0, 12, 13
8.0, 13, 0, 13, 6
11.75, 6, 20, 7, 14
9.25, 12, 13, 6, 6
21.75, 28, 35, 9, 15
13.75, 7, 20, 14, 14
8.25, 20, 0, 13, 0
7.0, 14, 0, 7, 7
7.75, 13, 0, 6, 12
6.5, 13, 0, 6, 7
7.0, 7, 0, 7, 14
10.0, 7, 6, 14, 13
9.75, 13, 0, 13, 13
6.75, 20, 0, 7, 0
8.25, 7, 20, 0, 6
7.25, 15, 0, 0, 14
24.25, 25, 26, 25, 21
10.75, 18, 13, 0, 12
8.5, 0, 0, 20, 14
6.25, 12, 0, 0, 13
8.5, 6, 14, 0, 14
4.75, 6, 0, 7, 6
6.75, 0, 7, 14, 6
6.75, 0, 7, 6, 14
8.5, 7, 7, 13, 7
6.75, 13, 0, 0, 14
8.25, 0, 14, 12, 7
9.5, 0, 18, 6, 14
26.75, 25, 26, 26, 30
11.25, 8, 21, 8, 8
6.75, 13, 0, 7, 7
9.5, 12, 0, 13, 13
6.75, 7, 0, 7, 13
8.5, 21, 0, 7, 6
7.75, 13, 0, 6, 12
10.0, 13, 20, 7, 0
8.75, 0, 14, 14, 7
8.25, 7, 6, 20, 0
6.5, 13, 13, 0, 0
8.25, 13, 0, 6, 14
16.75, 26, 26, 7, 8
18.75, 15, 29, 23, 8
12.75, 17, 6, 14, 14
8.0, 6, 13, 13, 0
8.25, 7, 13, 6, 7
9.75, 20, 13, 6, 0
8.25, 0, 14, 13, 6
9.75, 6, 20, 13, 0
7.0, 7, 0, 7, 14
8.25, 14, 7, 6, 6
8.0, 7, 6, 13, 6
8.0, 13, 0, 6, 13
10.25, 15, 0, 6, 20
19.5, 30, 27, 21, 0
3.75, 0, 0, 7, 8
10.0, 6, 20, 0, 14
12.25, 14, 14, 14, 7
11.5, 20, 14, 12, 0
7.0, 0, 7, 14, 7
8.75, 22, 6, 0, 7
11.25, 0, 14, 14, 17
10.0, 7, 13, 14, 6
9.5, 18, 6, 0, 14
10.75, 13, 12, 0, 18
9.0, 15, 7, 14, 0
24.25, 28, 16, 9, 44
8.25, 0, 0, 13, 20
10.25, 15, 6, 6, 14
